seed,proxy,target,rho
100,visual_complexity_proxy,structural_clutter_index,0.0
101,visual_complexity_proxy,structural_clutter_index,0.0
102,visual_complexity_proxy,structural_clutter_index,0.0
103,visual_complexity_proxy,structural_clutter_index,0.0
104,visual_complexity_proxy,structural_clutter_index,0.0
105,visual_complexity_proxy,structural_clutter_index,0.0
106,visual_complexity_proxy,structural_clutter_index,0.0
107,visual_complexity_proxy,structural_clutter_index,0.0
108,visual_complexity_proxy,structural_clutter_index,0.0
109,visual_complexity_proxy,structural_clutter_index,0.0
100,layout_order_proxy,geometric_order_index,0.24999824502141826
101,layout_order_proxy,geometric_order_index,0.2260452135645216
102,layout_order_proxy,geometric_order_index,0.24676560680666432
103,layout_order_proxy,geometric_order_index,0.2739146756571549
104,layout_order_proxy,geometric_order_index,0.27278442965641336
105,layout_order_proxy,geometric_order_index,0.30406081824608217
106,layout_order_proxy,geometric_order_index,0.24421863081355075
107,layout_order_proxy,geometric_order_index,0.19234740683233634
108,layout_order_proxy,geometric_order_index,0.21009669339029613
109,layout_order_proxy,geometric_order_index,0.2651248763636791
100,colour_harmony_proxy,palette_coherence_index,-0.3294611639445164
101,colour_harmony_proxy,palette_coherence_index,-0.6800952144237314
102,colour_harmony_proxy,palette_coherence_index,0.05495048492191939
103,colour_harmony_proxy,palette_coherence_index,0.16367084701841225
104,colour_harmony_proxy,palette_coherence_index,0.40118047009451174
105,colour_harmony_proxy,palette_coherence_index,-0.013811612758649354
106,colour_harmony_proxy,palette_coherence_index,0.49797137760382265
107,colour_harmony_proxy,palette_coherence_index,0.0940715218704986
108,colour_harmony_proxy,palette_coherence_index,0.40086692537384394
109,colour_harmony_proxy,palette_coherence_index,0.05479261327556911
100,visual_intensity_proxy,visual_salience_index,0.0
101,visual_intensity_proxy,visual_salience_index,0.0
102,visual_intensity_proxy,visual_salience_index,0.0
103,visual_intensity_proxy,visual_salience_index,0.0
104,visual_intensity_proxy,visual_salience_index,0.0
105,visual_intensity_proxy,visual_salience_index,0.0
106,visual_intensity_proxy,visual_salience_index,0.0
107,visual_intensity_proxy,visual_salience_index,0.0
108,visual_intensity_proxy,visual_salience_index,0.0
109,visual_intensity_proxy,visual_salience_index,0.0
100,layout_hierarchy_proxy,focal_hierarchy_index,0.10378330254105776
101,layout_hierarchy_proxy,focal_hierarchy_index,0.1450144333088798
102,layout_hierarchy_proxy,focal_hierarchy_index,0.14783633579489042
103,layout_hierarchy_proxy,focal_hierarchy_index,0.13764613237318535
104,layout_hierarchy_proxy,focal_hierarchy_index,0.1334132786441694
105,layout_hierarchy_proxy,focal_hierarchy_index,0.07666168420328888
106,layout_hierarchy_proxy,focal_hierarchy_index,0.254127996101291
107,layout_hierarchy_proxy,focal_hierarchy_index,0.17840694606000565
108,layout_hierarchy_proxy,focal_hierarchy_index,0.05690836680121445
109,layout_hierarchy_proxy,focal_hierarchy_index,0.06850952146592484
