version,proxy,split,n,feature_z_clip_fraction,final_score_clip_fraction,n_unique_scores,largest_exact_tie_fraction
pre_fix_silent_fallback,visual_complexity_proxy,G-dev,6250,0.00046,0.01024,6188,0.00512
pre_fix_silent_fallback,visual_complexity_proxy,G-validation,3125,0.00528,0.024,3052,0.02016
pre_fix_silent_fallback,visual_complexity_proxy,G-test,6250,0.03642,0.39312,3794,0.39312
pre_fix_silent_fallback,visual_complexity_proxy,interaction-test,800,0.0284375,0.15625,677,0.15375
pre_fix_silent_fallback,layout_order_proxy,G-dev,6250,0.00056,0.01024,6188,0.00512
pre_fix_silent_fallback,layout_order_proxy,G-validation,3125,0.00176,0.02432,3051,0.01824
pre_fix_silent_fallback,layout_order_proxy,G-test,6250,0.00528,0.28192,4489,0.28192
pre_fix_silent_fallback,layout_order_proxy,interaction-test,800,0.005833333333333334,0.0825,736,0.0775
pre_fix_silent_fallback,colour_harmony_proxy,G-dev,6250,0.000416,0.01024,6188,0.00512
pre_fix_silent_fallback,colour_harmony_proxy,G-validation,3125,0.001536,0.02208,3058,0.0144
pre_fix_silent_fallback,colour_harmony_proxy,G-test,6250,0.00384,0.02752,6080,0.0216
pre_fix_silent_fallback,colour_harmony_proxy,interaction-test,800,0.00225,0.0225,784,0.0125
pre_fix_silent_fallback,visual_intensity_proxy,G-dev,6250,0.000736,0.01024,6188,0.00512
pre_fix_silent_fallback,visual_intensity_proxy,G-validation,3125,0.004288,0.02656,3044,0.01792
pre_fix_silent_fallback,visual_intensity_proxy,G-test,6250,0.003808,0.16704,5208,0.1664
pre_fix_silent_fallback,visual_intensity_proxy,interaction-test,800,0.0065,0.145,686,0.11875
pre_fix_silent_fallback,layout_hierarchy_proxy,G-dev,6250,0.00020571428571428572,0.01024,6188,0.00512
pre_fix_silent_fallback,layout_hierarchy_proxy,G-validation,3125,0.00022857142857142857,0.00608,3108,0.00512
pre_fix_silent_fallback,layout_hierarchy_proxy,G-test,6250,0.003977142857142857,0.09488,5659,0.09472
pre_fix_silent_fallback,layout_hierarchy_proxy,interaction-test,800,0.003928571428571429,0.08625,733,0.085
post_fix_saliency_columns_only,visual_complexity_proxy,G-dev,6250,0.00046,0.01024,6188,0.00512
post_fix_saliency_columns_only,visual_complexity_proxy,G-validation,3125,0.00528,0.024,3052,0.02016
post_fix_saliency_columns_only,visual_complexity_proxy,G-test,6250,0.03642,0.39312,3794,0.39312
post_fix_saliency_columns_only,visual_complexity_proxy,interaction-test,800,0.0284375,0.15625,677,0.15375
post_fix_saliency_columns_only,layout_order_proxy,G-dev,6250,0.00056,0.01024,6188,0.00512
post_fix_saliency_columns_only,layout_order_proxy,G-validation,3125,0.00176,0.02112,3061,0.0176
post_fix_saliency_columns_only,layout_order_proxy,G-test,6250,0.00528,0.25184,4677,0.25184
post_fix_saliency_columns_only,layout_order_proxy,interaction-test,800,0.005833333333333334,0.06875,747,0.06375
post_fix_saliency_columns_only,colour_harmony_proxy,G-dev,6250,0.000416,0.01024,6188,0.00512
post_fix_saliency_columns_only,colour_harmony_proxy,G-validation,3125,0.001536,0.02208,3058,0.0144
post_fix_saliency_columns_only,colour_harmony_proxy,G-test,6250,0.00384,0.02752,6080,0.0216
post_fix_saliency_columns_only,colour_harmony_proxy,interaction-test,800,0.00225,0.0225,784,0.0125
post_fix_saliency_columns_only,visual_intensity_proxy,G-dev,6250,0.000736,0.01024,6188,0.00512
post_fix_saliency_columns_only,visual_intensity_proxy,G-validation,3125,0.004288,0.02656,3044,0.01792
post_fix_saliency_columns_only,visual_intensity_proxy,G-test,6250,0.003808,0.16704,5208,0.1664
post_fix_saliency_columns_only,visual_intensity_proxy,interaction-test,800,0.0065,0.145,686,0.11875
post_fix_saliency_columns_only,layout_hierarchy_proxy,G-dev,6250,0.0005257142857142857,0.01024,6188,0.00512
post_fix_saliency_columns_only,layout_hierarchy_proxy,G-validation,3125,0.0005942857142857143,0.0064,3107,0.00416
post_fix_saliency_columns_only,layout_hierarchy_proxy,G-test,6250,0.004251428571428572,0.05056,5936,0.0496
post_fix_saliency_columns_only,layout_hierarchy_proxy,interaction-test,800,0.004107142857142857,0.0375,772,0.03375
post_fix_spectral_residual,visual_complexity_proxy,G-dev,6250,0.00048,0.01024,6188,0.00512
post_fix_spectral_residual,visual_complexity_proxy,G-validation,3125,0.00516,0.02336,3054,0.01984
post_fix_spectral_residual,visual_complexity_proxy,G-test,6250,0.03636,0.39312,3794,0.39312
post_fix_spectral_residual,visual_complexity_proxy,interaction-test,800,0.02890625,0.15625,677,0.15375
post_fix_spectral_residual,layout_order_proxy,G-dev,6250,0.00056,0.01024,6188,0.00512
post_fix_spectral_residual,layout_order_proxy,G-validation,3125,0.00176,0.02112,3061,0.0176
post_fix_spectral_residual,layout_order_proxy,G-test,6250,0.00528,0.25184,4677,0.25184
post_fix_spectral_residual,layout_order_proxy,interaction-test,800,0.005833333333333334,0.06875,747,0.06375
post_fix_spectral_residual,colour_harmony_proxy,G-dev,6250,0.000448,0.01024,6188,0.00512
post_fix_spectral_residual,colour_harmony_proxy,G-validation,3125,0.001344,0.01888,3068,0.01312
post_fix_spectral_residual,colour_harmony_proxy,G-test,6250,0.003744,0.02976,6066,0.02288
post_fix_spectral_residual,colour_harmony_proxy,interaction-test,800,0.003,0.0225,784,0.01125
post_fix_spectral_residual,visual_intensity_proxy,G-dev,6250,0.000736,0.01024,6188,0.00512
post_fix_spectral_residual,visual_intensity_proxy,G-validation,3125,0.004288,0.02656,3044,0.01792
post_fix_spectral_residual,visual_intensity_proxy,G-test,6250,0.003808,0.16704,5208,0.1664
post_fix_spectral_residual,visual_intensity_proxy,interaction-test,800,0.0065,0.145,686,0.11875
post_fix_spectral_residual,layout_hierarchy_proxy,G-dev,6250,0.0005257142857142857,0.01024,6188,0.00512
post_fix_spectral_residual,layout_hierarchy_proxy,G-validation,3125,0.0005942857142857143,0.0064,3107,0.00416
post_fix_spectral_residual,layout_hierarchy_proxy,G-test,6250,0.004251428571428572,0.05056,5936,0.0496
post_fix_spectral_residual,layout_hierarchy_proxy,interaction-test,800,0.004107142857142857,0.0375,772,0.03375
