split,row_target,column_target,spearman_rho
G-dev,structural_clutter_index,structural_clutter_index,1.0
G-dev,structural_clutter_index,geometric_order_index,-0.8009366517223181
G-dev,structural_clutter_index,palette_coherence_index,0.1532823814981869
G-dev,structural_clutter_index,visual_salience_index,-0.24487066907707947
G-dev,structural_clutter_index,focal_hierarchy_index,0.07706112162619103
G-dev,geometric_order_index,structural_clutter_index,-0.8009366517223181
G-dev,geometric_order_index,geometric_order_index,1.0
G-dev,geometric_order_index,palette_coherence_index,-0.16810352986171498
G-dev,geometric_order_index,visual_salience_index,0.3190104166666667
G-dev,geometric_order_index,focal_hierarchy_index,0.14373265911030653
G-dev,palette_coherence_index,structural_clutter_index,0.1532823814981869
G-dev,palette_coherence_index,geometric_order_index,-0.16810352986171498
G-dev,palette_coherence_index,palette_coherence_index,1.0
G-dev,palette_coherence_index,visual_salience_index,0.16810352986171498
G-dev,palette_coherence_index,focal_hierarchy_index,0.05808159695919691
G-dev,visual_salience_index,structural_clutter_index,-0.24487066907707947
G-dev,visual_salience_index,geometric_order_index,0.3190104166666667
G-dev,visual_salience_index,palette_coherence_index,0.16810352986171498
G-dev,visual_salience_index,visual_salience_index,1.0
G-dev,visual_salience_index,focal_hierarchy_index,0.762891852081001
G-dev,focal_hierarchy_index,structural_clutter_index,0.07706112162619103
G-dev,focal_hierarchy_index,geometric_order_index,0.14373265911030653
G-dev,focal_hierarchy_index,palette_coherence_index,0.05808159695919691
G-dev,focal_hierarchy_index,visual_salience_index,0.762891852081001
G-dev,focal_hierarchy_index,focal_hierarchy_index,1.0
G-validation,structural_clutter_index,structural_clutter_index,1.0
G-validation,structural_clutter_index,geometric_order_index,-0.5404016899339366
G-validation,structural_clutter_index,palette_coherence_index,0.20522250015614166
G-validation,structural_clutter_index,visual_salience_index,0.1601266583208799
G-validation,structural_clutter_index,focal_hierarchy_index,0.6072416779749392
G-validation,geometric_order_index,structural_clutter_index,-0.5404016899339366
G-validation,geometric_order_index,geometric_order_index,1.0
G-validation,geometric_order_index,palette_coherence_index,-0.16810352986171498
G-validation,geometric_order_index,visual_salience_index,0.3190104166666667
G-validation,geometric_order_index,focal_hierarchy_index,0.136746465619851
G-validation,palette_coherence_index,structural_clutter_index,0.20522250015614166
G-validation,palette_coherence_index,geometric_order_index,-0.16810352986171498
G-validation,palette_coherence_index,palette_coherence_index,1.0
G-validation,palette_coherence_index,visual_salience_index,0.16810352986171498
G-validation,palette_coherence_index,focal_hierarchy_index,0.09244836443994431
G-validation,visual_salience_index,structural_clutter_index,0.1601266583208799
G-validation,visual_salience_index,geometric_order_index,0.3190104166666667
G-validation,visual_salience_index,palette_coherence_index,0.16810352986171498
G-validation,visual_salience_index,visual_salience_index,1.0
G-validation,visual_salience_index,focal_hierarchy_index,0.6699441329750546
G-validation,focal_hierarchy_index,structural_clutter_index,0.6072416779749392
G-validation,focal_hierarchy_index,geometric_order_index,0.136746465619851
G-validation,focal_hierarchy_index,palette_coherence_index,0.09244836443994431
G-validation,focal_hierarchy_index,visual_salience_index,0.6699441329750546
G-validation,focal_hierarchy_index,focal_hierarchy_index,1.0
G-test,structural_clutter_index,structural_clutter_index,1.0
G-test,structural_clutter_index,geometric_order_index,-0.4501278721181767
G-test,structural_clutter_index,palette_coherence_index,0.23517950056577175
G-test,structural_clutter_index,visual_salience_index,0.260572942494265
G-test,structural_clutter_index,focal_hierarchy_index,0.7829552756937896
G-test,geometric_order_index,structural_clutter_index,-0.4501278721181767
G-test,geometric_order_index,geometric_order_index,1.0
G-test,geometric_order_index,palette_coherence_index,-0.16810352986171498
G-test,geometric_order_index,visual_salience_index,0.3190104166666667
G-test,geometric_order_index,focal_hierarchy_index,0.059529572904929315
G-test,palette_coherence_index,structural_clutter_index,0.23517950056577175
G-test,palette_coherence_index,geometric_order_index,-0.16810352986171498
G-test,palette_coherence_index,palette_coherence_index,1.0
G-test,palette_coherence_index,visual_salience_index,0.16810352986171498
G-test,palette_coherence_index,focal_hierarchy_index,0.14360845785615423
G-test,visual_salience_index,structural_clutter_index,0.260572942494265
G-test,visual_salience_index,geometric_order_index,0.3190104166666667
G-test,visual_salience_index,palette_coherence_index,0.16810352986171498
G-test,visual_salience_index,visual_salience_index,1.0
G-test,visual_salience_index,focal_hierarchy_index,0.6378280200594273
G-test,focal_hierarchy_index,structural_clutter_index,0.7829552756937896
G-test,focal_hierarchy_index,geometric_order_index,0.059529572904929315
G-test,focal_hierarchy_index,palette_coherence_index,0.14360845785615423
G-test,focal_hierarchy_index,visual_salience_index,0.6378280200594273
G-test,focal_hierarchy_index,focal_hierarchy_index,1.0
interaction-test,structural_clutter_index,structural_clutter_index,1.0
interaction-test,structural_clutter_index,geometric_order_index,-0.5502274224946191
interaction-test,structural_clutter_index,palette_coherence_index,0.3143224619588133
interaction-test,structural_clutter_index,visual_salience_index,-0.41086412863289634
interaction-test,structural_clutter_index,focal_hierarchy_index,0.5513819341555664
interaction-test,geometric_order_index,structural_clutter_index,-0.5502274224946191
interaction-test,geometric_order_index,geometric_order_index,1.0
interaction-test,geometric_order_index,palette_coherence_index,-0.5443310539518174
interaction-test,geometric_order_index,visual_salience_index,0.05555555555555555
interaction-test,geometric_order_index,focal_hierarchy_index,0.21187201794452012
interaction-test,palette_coherence_index,structural_clutter_index,0.3143224619588133
interaction-test,palette_coherence_index,geometric_order_index,-0.5443310539518174
interaction-test,palette_coherence_index,palette_coherence_index,1.0
interaction-test,palette_coherence_index,visual_salience_index,0.5443310539518174
interaction-test,palette_coherence_index,focal_hierarchy_index,0.3113255409841047
interaction-test,visual_salience_index,structural_clutter_index,-0.41086412863289634
interaction-test,visual_salience_index,geometric_order_index,0.05555555555555555
interaction-test,visual_salience_index,palette_coherence_index,0.5443310539518174
interaction-test,visual_salience_index,visual_salience_index,1.0
interaction-test,visual_salience_index,focal_hierarchy_index,-0.13532434483894978
interaction-test,focal_hierarchy_index,structural_clutter_index,0.5513819341555664
interaction-test,focal_hierarchy_index,geometric_order_index,0.21187201794452012
interaction-test,focal_hierarchy_index,palette_coherence_index,0.3113255409841047
interaction-test,focal_hierarchy_index,visual_salience_index,-0.13532434483894978
interaction-test,focal_hierarchy_index,focal_hierarchy_index,1.0
